STATE,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
NC,498,773,1899,2345,1459,523,232,289,492,355,900,2050,661,494,960,382,813,609,250,752,575,676,769,703,1873,0,1372,1037,637,373,1526,2246,542,374,1059,2389,324,570,183,1287,456,1168,1825,138,668,2386,762,242,1458
ND,1257,943,1096,1190,532,1424,1314,1374,1433,1244,506,781,739,880,595,1002,1241,1485,1336,1450,842,754,716,1148,533,1372,0,461,1442,1374,813,1089,1350,1007,801,1074,1273,1483,1358,170,1030,1154,693,1349,1369,1040,614,1132,440
NE,820,483,985,1322,442,1244,1049,1124,998,833,170,1014,379,560,133,656,780,1325,1077,1385,640,595,286,690,862,1037,461,0,1298,1151,613,1220,1187,723,371,1357,1039,1310,978,308,625,730,793,1054,1247,1365,407,819,424
NH,1097,1254,2274,2590,1736,116,413,348,1126,952,1128,2214,964,792,1284,778,1393,63,390,116,658,715,1121,1262,1974,637,1442,1298,0,265,1893,2486,119,634,1480,2516,342,96,816,1432,943,1693,2059,499,89,2472,898,625,1699
NJ,840,1031,2100,2470,1594,151,153,84,862,694,988,2122,788,605,1114,560,1144,242,126,380,536,620,936,1017,1904,373,1374,1151,265,0,1719,2367,176,437,1281,2442,113,206,552,1334,710,1462,1937,235,301,2414,780,390,1569
NM,1146,773,382,879,285,1829,1598,1678,1302,1229,809,772,933,1115,609,1174,926,1914,1626,1986,1240,1205,783,931,817,1526,813,613,1893,1719,0,793,1778,1282,473,1101,1606,1894,1413,668,1071,604,476,1580,184,1174,1018,1349,382
NV,1920,1539,581,103,786,2448,2270,2343,2084,1986,1380,357,1597,1780,1285,1869,1719,2521,2296,2559,1838,1771,1477,1715,643,2246,1089,1220,2486,2367,793,0,2383,1943,1243,433,2256,2511,2159,1058,1804,1386,429,2273,2423,567,1593,2038,798
NY,987,1135,2159,2486,1627,82,311,258,1025,842,1018,2118,847,674,1169,656,1279,139,291,230,548,975,1004,1147,1883,542,1350,1187,119,176,1778,2383,0,514,1362,2425,231,133,716,1332,826,1575,1955,403,126,2386,791,509,1592
OH,556,624,1664,2045,1163,553,327,402,662,436,566,1717,352,168,678,158,803,642,354,740,208,618,500,664,1521,374,1007,723,634,437,1282,1943,514,0,851,2048,324,618,426,937,333,1066,1515,343,611,2035,394,133,1145
OK,677,300,840,1336,504,1403,1149,1233,842,755,473,1140,524,688,267,723,505,1493,1179,1582,856,695,364,474,1075,1059,801,371,1480,1281,473,1243,1362,851,0,1488,1170,1469,940,633,603,360,861,1122,1448,1531,681,898,556
OR,2141,1763,985,446,987,2498,2369,2435,2314,2180,1490,350,1728,1890,1455,2007,1990,2560,2393,2571,1906,1456,1639,1959,542,2389,1074,1357,2516,2442,1101,433,2425,2048,1488,0,2337,2557,2334,1112,1979,1704,633,2391,2442,146,1665,2161,954
PA,756,925,1988,2358,1481,242,95,105,796,611,876,2015,675,492,1001,450,1051,335,91,458,432,883,823,921,1801,324,1273,1039,342,113,1606,2256,231,324,1170,2337,0,305,489,1227,67,1359,1827,191,353,2312,673,286,1458
RI,1046,1229,2276,2614,1751,66,359,284,1063,900,1142,2249,962,783,1286,754,1349,41,332,191,674,1106,1115,1222,2016,570,1483,1310,96,206,1894,2511,133,618,1469,2557,305,0,752,1463,911,1664,2083,436,178,2519,918,591,1719
SC,325,644,1777,2257,1377,703,405,469,311,193,862,1989,621,489,883,361,642,791,426,931,633,991,696,542,1834,183,1358,978,816,552,1413,2159,716,426,940,2334,489,752,0,1253,357,1010,1747,317,840,2342,772,302,1387
SD,1122,791,981,1161,398,1401,1257,1323,1301,1124,391,788,633,793,439,908,1084,1472,1281,1212,798,359,582,998,586,1287,170,308,1432,1334,668,1058,1332,937,633,1112,1227,1463,1253,0,911,984,637,1280,1367,1099,554,1053,318
TN,264,325,1443,1902,1020,848,566,649,421,215,525,1633,296,251,526,175,470,941,595,544,469,691,340,330,1485,456,1030,625,943,710,1071,1804,826,333,603,1979,67,911,357,911,0,753,1390,525,933,1990,497,320,1030
TX,690,43,868,1465,771,1601,1316,1398,802,818,815,1369,801,926,618,915,391,1694,1345,1804,1128,1045,656,468,1363,1168,1154,730,1693,1462,604,1386,1575,1066,360,1704,1359,1664,1010,984,753,0,1073,1265,1677,1770,997,1073,849
UT,1527,1145,505,532,371,2019,1842,1915,1697,1580,951,296,1171,1353,866,1446,1359,2093,1868,2134,1409,992,1057,1334,403,1825,693,793,2059,1937,476,429,1955,1515,861,633,1827,2083,1747,637,1390,1073,0,1847,1997,698,1164,1612,370
VA,616,850,1958,2375,1489,386,96,152,628,470,904,2058,676,495,993,408,926,470,112,615,520,959,804,807,1864,138,1349,1054,499,235,1580,2273,403,343,1122,2391,191,436,317,1280,525,1265,1847,0,529,2378,736,236,1478
VT,1106,1235,2228,2527,1682,172,436,384,1149,962,1077,2145,927,726,1241,763,1392,152,417,138,609,1008,1085,1285,1900,668,1369,1247,89,301,184,2423,126,611,1448,2442,353,178,840,1367,933,1677,1997,529,0,2396,843,622,1641
WA,2167,1794,1097,589,1028,2462,2350,2351,2343,2196,1487,402,1727,1894,1472,2005,2036,2519,2373,2521,1881,1429,1651,1995,514,2386,1040,1365,2472,2414,1174,567,2386,2035,1531,146,2312,2519,2342,1099,1990,1770,698,2378,2396,0,1645,2125,982
WI,759,596,1393,1696,839,855,705,769,917,698,213,1342,227,283,430,411,878,930,728,981,245,225,343,746,1132,762,614,407,898,780,1018,1593,791,394,681,1665,673,918,772,554,497,997,1164,736,843,1645,0,520,801
WV,490,640,1729,2139,1253,528,251,334,567,353,672,1826,441,262,758,176,770,621,281,739,339,746,570,638,1638,242,1132,819,625,390,1349,2038,509,133,898,2161,286,591,302,1053,320,1073,1612,236,622,2125,520,0,1243
WY,1187,812,664,900,97,1654,1472,1546,1363,1228,582,605,802,984,504,1078,1060,1731,1499,1778,1045,647,693,1013,520,1458,440,424,1699,1569,382,798,1592,1145,556,954,1458,1719,1387,318,1030,849,370,1478,1641,982,801,1243,0
